"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,8239,"Discmania Active Magician",P,117DMXX,,Discmania,"Disc Golf - Stock Models",Right,"<p><span style=""font-weight: 400;""><span style=""font-weight: 400;"">The MAGICIAN is the brand new fairway driver featured as a part of the Discmania Active lineup. The Fox Spirit is a stable fairway driver designed to give all players a fairway driver that can be trusted in all conditions. The Fox Spirit flies straight with minimal turn and a reliable fade at the end giving this disc a flight that can be trusted and repeated. The stability of the MAGICIAN allows it to be a great forehand approach disc in addition to its backhand capabilities. Rated at a speed 6, the MAGICIAN has a smaller rim that makes this disc comfortable for all hand sizes. </span></span></p> <p><span style=""font-weight: 400;""><span style=""font-weight: 400;""><em>Please note: disc and stamp colors may vary from images shown.</em></span></span></p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Discmania Active Baseline plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <p><img class=""__mce_add_custom__"" title=""speed-6.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-6.gif"" alt=""speed-6.gif"" /><img class=""__mce_add_custom__"" title=""glide-4.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-4.gif"" alt=""glide-4.gif"" width=""70"" height=""62"" /></p> <p><img class=""__mce_add_custom__"" title=""turn-zero.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-zero.gif"" alt=""turn-zero.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-2.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-2.gif"" alt=""fade-2.gif"" width=""70"" height=""62"" /><br /><a href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Fairway Driver</li> <li>Best Choice for: Straight shots, control, forehand approach, all players</li> <li>Assorted weights between 165-170g</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",7.99,7.05,0.00,0.00,0.0000,N,,0.4000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",6,0,"Disc Golf/Discs/Fairway Driver",42919,h/300/DSC03485__34775.JPG,"Discmania Active MAGICIAN White Top View",Y,0,42918,h/612/DSC03475__75877.JPG,"Discmania Active MAGICIAN Pink Top View",N,1,42920,g/041/DSC03480__51813.JPG,"Discmania Active MAGICIAN Blue Top View",N,2,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/fairway-driver/discmania-active-magician/,,,,,,,,,,,,N,,"Speed=6;Glide=4;Turn=0;Fade=2;""Plastic Class=Basic"""
"  SKU",85750,"[S]Disc color=White,[S]Disc weight=167-169 grams",,117DMWHIT168,,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85751,"[S]Disc color=Pink,[S]Disc weight=167-169 grams",,117DMPINK168,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85752,"[S]Disc color=White,[S]Disc weight=160-166 grams",,117DMWHIT166,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85753,"[S]Disc color=Blue,[S]Disc weight=160-166 grams",,117DMBLUE166,,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",19794,,,117DMWHIT168,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19794_source_1601484498.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19796,,,117DMPINK168,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19796_source_1601484567.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19798,,,117DMWHIT166,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19798_source_1601484697.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19800,,,117DMBLUE166,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19800_source_1601484881.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
Product,8240,"Discmania Link (Glow Lumen Hard) Medusa Halloween 2020 Special Edition",P,130DMXX,,Discmania,"Lumen Link Options",Right,"<p><span>The Link has a stable flight for a putter, able to take large amounts of spin without getting floaty and able to glide to the basket without fading out too soon. The Link fits the perfect all around putter for beginners and seasoned pros alike. This putter features a big bead on the rim that makes the Link feel comfortable and helps it glide out of the hand easily on every shot. The Link is slightly shorter than the P2 while not being short enough to qualify as low profile. Anyone who&rsquo;s a fan of the P2 but looking for a smaller grip will find an immediate comfort in the Link. The Link has a straight flight when thrown, resulting in a putter that can be relied upon for any up shot needed on the green. Attack the basket head on, or adjust the angle of release and have a putter that can crush any hyzer or anhyzer line with enough glide to carry clear down the fairway.</span></p> <p><span><span style=""font-weight: 400;"">Link up your putting game just in time for glow season and cooler temperatures. The fan favorite Exo Lumen Link is now available for a limited time only.&nbsp;</span></span></p> <p>The Link has a stable, reliable flight for a putter. You can count on it to handle a pretty decent amount of snap before wanting to turn over. It has a slightly shallower feel and profile compared to the P2, making it a great option for just about anyone and especially those that find the P2 to be too deep in hand.</p> <p>Lumen plastic adds some specialty flare to your favorite putter. You can expect the grip of this plastic to be just as good as our traditional Soft or Hard Exo plastics but will glow in the dark when exposed to natural or artificial light.</p> <p><span style=""font-weight: 400;"">Pro Tip: </span><span style=""font-weight: 400;"">The Hard Lumen plastic gives the Link enough rigidity for players to be confident that the disc will retain its shape, even for players with a firm grip. While remaining firm, the Hard Lumen plastic has a soft velvet like feel to its surface making this plastic both reliable and comfortable to the touch.</span></p> <p><span>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Discmania's Exo Hard plastic</a></span></p> <h3>FLIGHT CHARACTERISTICS</h3> <div><img class=""__mce_add_custom__"" title=""speed-2.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-2.gif"" alt=""speed-2.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-3.gif"" alt=""glide-3.gif"" width=""70"" height=""62"" /></div> <p><img class=""__mce_add_custom__"" title=""turn-zero.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-zero.gif"" alt=""turn-zero.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-1.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-1.gif"" alt=""fade-1.gif"" /><br /><a title=""About the flight characteristics numbering system"" href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Putter and Approach Disc</li> <li>Best Choice for: go-to putter, stable putter</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",16.99,7.05,0.00,0.00,0.0000,N,,0.5000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",7,0,"Disc Golf/Discs/Putter & Approach;Disc Golf/Discs/Glow in the Dark;Disc Golf/Discs/Custom & Limited",42983,d/065/DSC03358__58209.JPG,,Y,0,42984,b/758/DSC03363__83271.JPG,,N,1,42985,v/158/DSC03354__33718.JPG,,N,2,42987,m/587/DSC04103__65117.JPG,,N,3,43041,q/049/DSC04199__42817.JPG,,N,4,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/putter-approach/discmania-link-glow-lumen-hard-medusa-halloween-2020-special-edition/,,,,,,,,,,,,N,,"Speed=2;Glide=3;Turn=0;Fade=1;""Plastic Class=Standard"""
